IncidentID,Latitude,Longitude,Request_ID,Cardinality,County_Name,Direction,Government_Level,Grade_Class,Grade_Direction,Grade_Percent,Horizontal_Curve_Degree,Horizontal_Curve_Direction,Lane_Width_Feet,Lanes_Total_Number_Driving,Median_Type,Median_Type_of_Roadway,Median_Width_Feet,Road_Name,Route,Route_Type,Route_Unique_Identifier,Milepoint,Shoulder_Width_Cardinal_Left_Feet,Shoulder_Width_Cardinal_Right_Feet,Shoulder_Width_NonCardinal_Left_Feet,Shoulder_Width_NonCardinal_Right_Feet,Snow_Ice_Priority_Route_Type,Speed_Limit_Official_Order,Speed_Limit_Posted_MPH,Surface_Type,Traffic_Last_Count,Truck_Weight_Limit_Class,Type_Operation
32655798,37.89808651,-85.69820485,0,Cardinal,Bullitt,Northbound,State Maintained Roads, 0.5-2.4 Percent,Downhill,1.017,1.5,Left,12,6,Depressed,Divided Highway,60,I-65,I-65,I,015-I -0065  -000,109.797,10,10,,,IP,113007,70,Asphalt,64018,80 000 lbs maximum,One Side of Divided Highway
32660760,38.24290796,-85.50380744,1,Non-Cardinal,Jefferson,Southbound,State Maintained Roads,,,,,,12,4,Depressed,Divided Highway,60,I-265 NC,I-265,I,056-I -0265  -010,26.841,,,7,11,IP,113007,65,Asphalt,,80 000 lbs maximum,One Side of Divided Highway
32660920,38.21866434,-85.50610208,2,Non-Cardinal,Jefferson,Southbound,State Maintained Roads,,,,,,12,4,Depressed,Divided Highway,60,I-265 NC,I-265,I,056-I -0265  -010,25.164,,,5,11,IP,113007,65,Asphalt,,80 000 lbs maximum,One Side of Divided Highway
32646189,37.8730393,-85.70312722,3,Cardinal,Bullitt,Northbound,State Maintained Roads, 2.5-4.4 Percent,Sag,3.161,,,12,6,Depressed,Divided Highway,60,I-65,I-65,I,015-I -0065  -000,108.023,10,10,,,IP,113007,70,Asphalt,64018,80 000 lbs maximum,One Side of Divided Highway
32654634,38.38336634,-85.41573369,4,Non-Cardinal,Oldham,Southbound,State Maintained Roads, 0.5-2.4 Percent,Uphill,1.607,,,12,4,Other Positive Barrier,Divided Highway,99,I-71 NC,I-71,I,093-I -0071  -010,19.3,,,5,10,IP,113007,70,Asphalt,,80 000 lbs maximum,One Side of Divided Highway
32648383,37.94070722,-85.68870209,5,Non-Cardinal,Bullitt,Southbound,State Maintained Roads, 2.5-4.4 Percent,Downhill,3.32,,,12,6,Depressed,Divided Highway,60,I-65 NC,I-65,I,015-I -0065  -010,112.895,,,10,10,IP,113007,70,Asphalt,,80 000 lbs maximum,One Side of Divided Highway
32676402,38.2854696,-85.50707841,6,Non-Cardinal,Jefferson,Southbound,State Maintained Roads,,,,,,12,4,Depressed,Divided Highway,60,I-265 NC,I-265,I,056-I -0265  -010,30,,,6,11,IP,113007,65,Asphalt,,80 000 lbs maximum,One Side of Divided Highway
32645598,38.08031764,-84.47028856,7,Cardinal,Fayette,Northbound & Southbound,State Maintained Roads, 2.5-4.4 Percent,Sag,2.546,,,11,4,None,Undivided Highway,0,RUSSELL CAVE RD,KY-353,KY,034-KY-0353  -000,0.737,,2,,2,A,113168,45,Asphalt,13165,62 000 lbs maximum,Two-Way
32654632,38.33994931,-85.51229336,8,Non-Cardinal,Oldham,Southbound,State Maintained Roads, 4.5-6.4 Percent,Downhill,6.239,,,12,4,Other Positive Barrier,Divided Highway,99,I-71 NC,I-71,I,093-I -0071  -010,13.243,,,5,10,IP,113007,70,Asphalt,,80 000 lbs maximum,One Side of Divided Highway
32642670,37.88547204,-85.69886231,9,Cardinal,Bullitt,Northbound,State Maintained Roads, 2.5-4.4 Percent,Downhill,4.154,1.9,Left,12,6,Depressed,Divided Highway,60,I-65,I-65,I,015-I -0065  -000,108.916,10,10,,,IP,113007,70,Asphalt,64018,80 000 lbs maximum,One Side of Divided Highway
