IncidentId,UnitNumber,Factor_Type,Factor
32658708,1,ENVIRON FACTOR,2
32658708,2,ENVIRON FACTOR,2
32658708,3,ENVIRON FACTOR,2
32659228,1,ENVIRON FACTOR,2
32659228,2,ENVIRON FACTOR,2
32672935,1,ENVIRON FACTOR,2
32672935,2,ENVIRON FACTOR,2
32676655,1,ENVIRON FACTOR,2
32676655,2,ENVIRON FACTOR,2
32682385,1,ENVIRON FACTOR,17
32682385,1,ENVIRON FACTOR,2
32682385,2,ENVIRON FACTOR,17
32682385,2,ENVIRON FACTOR,2
32686833,1,ENVIRON FACTOR,2
32686843,1,ENVIRON FACTOR,2
32686843,2,ENVIRON FACTOR,2
32700076,1,ENVIRON FACTOR,2
32702194,1,ENVIRON FACTOR,17
32702194,1,ENVIRON FACTOR,2
32702194,2,ENVIRON FACTOR,17
32702194,2,ENVIRON FACTOR,2
32709294,1,ENVIRON FACTOR,2
32709294,1,ENVIRON FACTOR,11
32709294,2,ENVIRON FACTOR,99
32709983,1,ENVIRON FACTOR,2
32709983,1,ENVIRON FACTOR,14
32709983,2,ENVIRON FACTOR,99
32714074,1,ENVIRON FACTOR,2
32714074,2,ENVIRON FACTOR,2
32716413,1,ENVIRON FACTOR,2
32716413,2,ENVIRON FACTOR,2
32717185,1,ENVIRON FACTOR,2
32728816,1,ENVIRON FACTOR,2
32731794,1,ENVIRON FACTOR,2
32731794,2,ENVIRON FACTOR,2
32733964,1,ENVIRON FACTOR,2
32733964,2,ENVIRON FACTOR,2
32733997,1,ENVIRON FACTOR,2
32733997,2,ENVIRON FACTOR,2
32747062,1,ENVIRON FACTOR,2
32747062,2,ENVIRON FACTOR,9
32750312,1,ENVIRON FACTOR,9
32750312,1,ENVIRON FACTOR,11
32750312,2,ENVIRON FACTOR,2
32750312,2,ENVIRON FACTOR,11
32750402,1,ENVIRON FACTOR,2
32750402,2,ENVIRON FACTOR,99
32755079,1,ENVIRON FACTOR,2
32756505,1,ENVIRON FACTOR,2
32756505,2,ENVIRON FACTOR,2
32757863,1,ENVIRON FACTOR,2
32757863,2,ENVIRON FACTOR,99
32757948,1,ENVIRON FACTOR,2
32757948,2,ENVIRON FACTOR,2
32768176,1,ENVIRON FACTOR,2
32768176,2,ENVIRON FACTOR,2
32768291,1,ENVIRON FACTOR,17
32768291,1,ENVIRON FACTOR,2
32768291,2,ENVIRON FACTOR,17
32768291,2,ENVIRON FACTOR,2
