IncidentId,TrafficControlNo,TrafficControl,
26133281,1,STOP & GO SIGNAL,
26146419,1,ADVISORY SPEED SIGN,
26146419,2,CENTER LINE,
26146419,3,OTHER,
26146419,4,WARNING SIGNS,
26148508,1,CENTER LINE,
26148508,2,OTHER,
26148508,3,WARNING SIGNS,
26148662,1,CENTER LINE,
26163521,1,CENTER LINE,
26166091,1,CENTER LINE,
26168678,1,MEDIAN,
26168678,2,WARNING SIGNS,
26177950,1,STOP SIGN,
26186176,1,CENTER LINE,
26186176,2,OTHER,
26191024,1,ADVISORY SPEED SIGN,
26191024,2,MEDIAN,
26193887,1,ADVISORY SPEED SIGN,
26193888,1,ADVISORY SPEED SIGN,
26193888,2,CENTER LINE,
26194451,1,CENTER LINE,
26202973,1,MEDIAN,
26202973,2,CENTER LINE,
26202973,3,OTHER,
26202973,4,WARNING SIGNS,
26208265,1,CENTER LINE,
26208265,2,STOP & GO SIGNAL,
26217422,1,ADVISORY SPEED SIGN,
26217422,2,WARNING SIGNS,
26220770,1,CENTER LINE,
26220770,2,STOP & GO SIGNAL,
26220926,1,MEDIAN,
26231386,1,ADVISORY SPEED SIGN,
26231608,1,MEDIAN,
26231608,2,ADVISORY SPEED SIGN,
26231608,3,WARNING SIGNS,
26232980,1,ADVISORY SPEED SIGN,
26232980,2,CENTER LINE,
26241187,1,OFFICER OR FLAGMAN,
26255745,1,MEDIAN,
26255746,1,MEDIAN,
26259380,1,MEDIAN,
26260463,1,NONE,
26262381,1,NONE,
26266428,1,MEDIAN,
26273031,1,CENTER LINE,
26275187,1,MEDIAN,
26275187,2,OTHER,
26275187,3,WARNING SIGNS,
26283500,1,SCHOOL ZONE SIGN,
26294457,1,MEDIAN,
26294457,2,CENTER LINE,
26295343,1,CENTER LINE,
26295343,2,CURVE SIGN,
26295343,3,WARNING SIGNS,
26296674,1,MEDIAN,
26299617,1,MEDIAN,
26307240,1,MEDIAN,
26307240,2,OTHER,
26312732,1,MEDIAN,
26312732,2,CENTER LINE,
26312732,3,OTHER,
26315521,1,MEDIAN,
26318843,1,MEDIAN,
26318843,2,STOP & GO SIGNAL,
26329806,1,MEDIAN,
26329806,2,STOP SIGN,
26330284,1,MEDIAN,
26333020,1,MEDIAN,
26336563,1,ADVISORY SPEED SIGN,
26336563,2,CENTER LINE,
26341550,1,NONE,
26350201,1,MEDIAN,
26350201,2,OTHER,
26350201,3,WARNING SIGNS,
26351580,1,MEDIAN,
26351580,2,CENTER LINE,
26351581,1,MEDIAN,
26351581,2,CENTER LINE,
26370141,1,MEDIAN,
26386646,1,MEDIAN,
26386646,2,ADVISORY SPEED SIGN,
26386646,3,WARNING SIGNS,
26386646,4,YIELD SIGN,
26390179,1,MEDIAN,
26391954,1,CENTER LINE,
26392376,1,MEDIAN,
26392376,2,ADVISORY SPEED SIGN,
26394050,1,CENTER LINE,
26394063,1,CENTER LINE,
26395952,1,STOP SIGN,
26402007,1,OTHER,
26402007,2,STOP & GO SIGNAL,
26403706,1,CENTER LINE,
26403706,2,OFFICER OR FLAGMAN,
26403706,3,WARNING SIGNS,
26403958,1,MEDIAN,
26418456,1,MEDIAN,
26418456,2,ADVISORY SPEED SIGN,
26418456,3,OTHER,
26431041,1,MEDIAN,
26431041,2,ADVISORY SPEED SIGN,
26440563,1,STOP SIGN,
26443078,1,OFFICER OR FLAGMAN,
26451086,1,ADVISORY SPEED SIGN,
26451086,2,CENTER LINE,
26451086,3,NO PASSING ZONE,
26466356,1,CENTER LINE,
26466356,2,OTHER,
26467955,1,OTHER,
26470150,1,MEDIAN,
26470150,2,CENTER LINE,
26472140,1,OTHER,
26472140,2,STOP SIGN,
26472140,3,WARNING SIGNS,
26472763,1,MEDIAN,
26472763,2,ADVISORY SPEED SIGN,
26472763,3,WARNING SIGNS,
26473617,1,NONE,
26479183,1,ADVISORY SPEED SIGN,
26479183,2,OTHER,
26479183,3,WARNING SIGNS,
26484436,1,CENTER LINE,
26484436,2,STOP SIGN,
26485657,1,NONE,
26491246,1,STOP & GO SIGNAL,
26492756,1,ADVISORY SPEED SIGN,
26492756,2,CENTER LINE,
26492756,3,MEDIAN,
26492756,4,NO PASSING ZONE,
26493238,1,MEDIAN,
26493392,1,ADVISORY SPEED SIGN,
26498652,1,CENTER LINE,
26498652,2,NO PASSING ZONE,
26498652,3,STOP SIGN,
26499895,1,MEDIAN,
26499896,1,MEDIAN,
26508115,1,CENTER LINE,
26508115,2,CROSSWALK,
26508115,3,STOP & GO SIGNAL,
26508936,1,CENTER LINE,
26509453,1,MEDIAN,
26509456,1,MEDIAN,
26526137,1,ADVISORY SPEED SIGN,
26526137,2,MEDIAN,
26526137,3,NO PASSING ZONE,
26527980,1,CENTER LINE,
26527980,2,STOP & GO SIGNAL,
26528028,1,MEDIAN,
26530345,1,NO PASSING ZONE,
26530345,2,WARNING SIGNS,
26538904,1,WARNING SIGNS,
26539731,1,MEDIAN,
26541881,1,NONE,
26542408,1,FLASHING LIGHT,
26542408,2,MEDIAN,
26542408,3,STOP & GO SIGNAL,
26543517,1,MEDIAN,
26544905,1,MEDIAN,
26547892,1,ADVISORY SPEED SIGN,
26548373,1,ADVISORY SPEED SIGN,
26548373,2,CENTER LINE,
26548373,3,STOP SIGN,
26554412,1,MEDIAN,
26554412,2,WARNING SIGNS,
26554805,1,MEDIAN,
26556602,1,MEDIAN,
26561370,1,MEDIAN,
26563511,1,MEDIAN,
26566637,1,MEDIAN,
26568503,1,STOP & GO SIGNAL,
26569661,1,ADVISORY SPEED SIGN,
26569661,2,CENTER LINE,
26569661,3,WARNING SIGNS,
26570804,1,NONE,
26579546,1,NONE,
26587556,1,MEDIAN,
26588079,1,CENTER LINE,
26588079,2,YIELD SIGN,
26588079,3,MEDIAN,
26599472,1,MEDIAN,
26599472,2,OTHER,
26600288,1,MEDIAN,
26600649,1,ADVISORY SPEED SIGN,
26600649,2,MEDIAN,
26602257,1,NONE,
26602510,1,MEDIAN,
26606444,1,NONE,
26608463,1,NO PASSING ZONE,
26608463,2,CENTER LINE,
26617074,1,MEDIAN,
26621685,1,ADVISORY SPEED SIGN,
26621685,2,CENTER LINE,
26621685,3,WARNING SIGNS,
