IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
26133281,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26146419,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26146419,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26148508,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26166091,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26168678,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26177950,,2,07,,,,,,,,,,,,,,,,,,,,,,,
26193887,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26193887,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26193888,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26194451,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26202973,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26202973,2,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
26208265,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
26217422,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26220926,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26231386,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26255746,1,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
26260463,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26232980,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26275187,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26283500,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26295343,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26296674,4,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
