IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
29540000,1,1,1,NOT INSTALLED,
29540000,2,3,1,NOT INSTALLED,
29545231,1,1,1,INSTALLED/NOT DEPLOYED,
29545231,2,2,1,INSTALLED/NOT DEPLOYED,
29556449,1,1,1,INSTALLED/NOT DEPLOYED,
29572470,1,2,1,NOT INSTALLED,
29572470,1,3,1,INSTALLED/NOT DEPLOYED,
29572470,2,5,1,INSTALLED/NOT DEPLOYED,
29576130,1,1,1,DEPLOYED-FRONT,
29576130,2,2,1,DEPLOYED-COMBINATION,
29576130,2,3,1,DEPLOYED-SIDE,
29576586,1,2,1,INSTALLED/NOT DEPLOYED,
29576586,2,4,1,INSTALLED/NOT DEPLOYED,
29576586,2,5,1,INSTALLED/NOT DEPLOYED,
29577097,1,1,1,INSTALLED/NOT DEPLOYED,
29577097,2,3,1,INSTALLED/NOT DEPLOYED,
29577097,2,4,1,INSTALLED/NOT DEPLOYED,
29583737,1,1,1,INSTALLED/NOT DEPLOYED,
29584268,1,1,1,INSTALLED/NOT DEPLOYED,
29584268,2,3,1,INSTALLED/NOT DEPLOYED,
29589574,1,1,1,INSTALLED/NOT DEPLOYED,
29593769,1,1,1,INSTALLED/NOT DEPLOYED,
29593769,1,2,1,INSTALLED/NOT DEPLOYED,
29593769,2,3,1,INSTALLED/NOT DEPLOYED,
29595314,1,1,1,INSTALLED/NOT DEPLOYED,
29596028,2,1,1,INSTALLED/NOT DEPLOYED,
29596028,3,2,1,INSTALLED/NOT DEPLOYED,
29596028,1,3,1,NOT INSTALLED,
29596028,1,4,1,INSTALLED/NOT DEPLOYED,
29604683,1,1,1,INSTALLED/NOT DEPLOYED,
29604683,2,3,1,INSTALLED/NOT DEPLOYED,
29618331,1,1,1,DEPLOYED-COMBINATION,
29620589,1,1,1,INSTALLED/NOT DEPLOYED,
29621209,1,1,1,INSTALLED/NOT DEPLOYED,
29621209,2,2,1,INSTALLED/NOT DEPLOYED,
29624885,1,1,1,INSTALLED/NOT DEPLOYED,
29624885,1,2,1,INSTALLED/NOT DEPLOYED,
29624885,2,3,1,INSTALLED/NOT DEPLOYED,
29624885,2,4,1,INSTALLED/NOT DEPLOYED,
29628996,1,1,1,INSTALLED/NOT DEPLOYED,
29628996,1,2,1,INSTALLED/NOT DEPLOYED,
29628996,2,3,1,INSTALLED/NOT DEPLOYED,
29628996,2,4,1,INSTALLED/NOT DEPLOYED,
29631522,1,1,1,INSTALLED/NOT DEPLOYED,
29631522,2,3,1,INSTALLED/NOT DEPLOYED,
29635624,1,1,1,INSTALLED/NOT DEPLOYED,
29635624,1,2,1,INSTALLED/NOT DEPLOYED,
29635624,1,3,1,INSTALLED/NOT DEPLOYED,
29635624,1,4,1,INSTALLED/NOT DEPLOYED,
29635624,1,5,1,INSTALLED/NOT DEPLOYED,
29635624,1,6,1,INSTALLED/NOT DEPLOYED,
29635624,2,7,1,INSTALLED/NOT DEPLOYED,
29638037,1,1,1,DEPLOYED-COMBINATION,
29638037,1,1,2,DEPLOYED-CURTAIN,
29638037,1,1,3,DEPLOYED-FRONT,
29638037,1,1,4,DEPLOYED-OTHER (KneeAir beltetc.),
29638037,1,1,5,DEPLOYED-SIDE,
29639103,1,1,1,INSTALLED/NOT DEPLOYED,
29639103,2,2,1,INSTALLED/NOT DEPLOYED,
29645853,1,1,1,DEPLOYED-FRONT,
29645853,2,2,1,INSTALLED/NOT DEPLOYED,
29654154,1,1,1,NOT INSTALLED,
29654154,2,3,1,NOT INSTALLED,
29654420,1,1,1,INSTALLED/NOT DEPLOYED,
29654420,2,2,1,INSTALLED/NOT DEPLOYED,
29672618,1,1,1,INSTALLED/NOT DEPLOYED,
29672618,2,2,1,INSTALLED/NOT DEPLOYED,
29692653,1,1,1,DEPLOYED-FRONT,
29692653,1,2,1,DEPLOYED-FRONT,
29692653,2,3,1,DEPLOYED-COMBINATION,
29705815,1,4,1,INSTALLED/NOT DEPLOYED,
29706000,2,1,1,INSTALLED/NOT DEPLOYED,
29708462,1,1,1,INSTALLED/NOT DEPLOYED,
29708462,2,2,1,DEPLOYED-FRONT,
29710941,1,1,1,INSTALLED/NOT DEPLOYED,
29710941,1,2,1,INSTALLED/NOT DEPLOYED,
29710941,1,3,1,INSTALLED/NOT DEPLOYED,
29710941,1,4,1,INSTALLED/NOT DEPLOYED,
29719170,1,1,1,INSTALLED/NOT DEPLOYED,
29719170,2,2,1,DEPLOYED-FRONT,
29719170,2,3,1,DEPLOYED-FRONT,
29719170,3,4,1,INSTALLED/NOT DEPLOYED,
29725678,1,1,1,INSTALLED/NOT DEPLOYED,
29725678,2,2,1,INSTALLED/NOT DEPLOYED,
29726502,1,1,1,INSTALLED/NOT DEPLOYED,
29726502,2,3,1,INSTALLED/NOT DEPLOYED,
29733147,1,1,1,INSTALLED/NOT DEPLOYED,
29733147,2,3,1,INSTALLED/NOT DEPLOYED,
29750595,1,1,1,INSTALLED/NOT DEPLOYED,
29750595,2,2,1,INSTALLED/NOT DEPLOYED,
29750595,2,3,1,INSTALLED/NOT DEPLOYED,
29750595,2,4,1,INSTALLED/NOT DEPLOYED,
29750595,4,6,1,INSTALLED/NOT DEPLOYED,
29750595,4,7,1,INSTALLED/NOT DEPLOYED,
29754591,1,1,1,INSTALLED/NOT DEPLOYED,
29754591,2,2,1,INSTALLED/NOT DEPLOYED,
29754591,2,3,1,INSTALLED/NOT DEPLOYED,
29754591,2,4,1,INSTALLED/NOT DEPLOYED,
29768565,1,1,1,INSTALLED/NOT DEPLOYED,
29768565,2,3,1,INSTALLED/NOT DEPLOYED,
29768844,1,1,1,DEPLOYED-FRONT,
29768844,2,2,1,INSTALLED/NOT DEPLOYED,
29777540,1,1,1,INSTALLED/NOT DEPLOYED,
29777540,2,2,1,INSTALLED/NOT DEPLOYED,
29781084,1,1,1,INSTALLED/NOT DEPLOYED,
29781084,1,2,1,INSTALLED/NOT DEPLOYED,
29781084,2,3,1,INSTALLED/NOT DEPLOYED,
29781084,3,4,1,INSTALLED/NOT DEPLOYED,
29781084,3,5,1,INSTALLED/NOT DEPLOYED,
29783247,1,1,1,INSTALLED/NOT DEPLOYED,
29783247,2,3,1,INSTALLED/NOT DEPLOYED,
29783247,2,4,1,INSTALLED/NOT DEPLOYED,
29783623,1,1,1,INSTALLED/NOT DEPLOYED,
29783931,1,1,1,INSTALLED/NOT DEPLOYED,
29783931,1,2,1,INSTALLED/NOT DEPLOYED,
29783931,2,3,1,INSTALLED/NOT DEPLOYED,
29786850,1,2,1,INSTALLED/NOT DEPLOYED,
29786850,1,3,1,INSTALLED/NOT DEPLOYED,
29786859,1,2,1,NOT INSTALLED,
29787796,1,1,1,INSTALLED/NOT DEPLOYED,
29787796,2,2,1,INSTALLED/NOT DEPLOYED,
29793192,2,1,1,INSTALLED/NOT DEPLOYED,
