IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
32655798,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,I 0065,,I65 N,,,,,,,,,37.898086508,-85.698204849,109.800,12/30/2023 12:00:00 AM,1708,3,3,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/1/2024 12:03:00 AM,False,1284,Accepted,
32660760,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 SB,,,,,,,,,38.242907964,-85.503807444,26.841,12/30/2023 12:00:00 AM,0356,1,1,0,0,FOG WITH RAIN,WET,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,1/2/2024 9:20:58 AM,False,5533,Accepted,
32660920,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 WB,,,,,,,,,38.218664337,-85.506102077,25.164,12/29/2023 12:00:00 AM,1612,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,1/2/2024 9:34:28 AM,False,8461,Accepted,
32646189,0150200,LEBANON JUNCTION POLICE DEPT.,Accepted,BULLITT,I 0065,,I65 N,,,,,,,,,37.873039303,-85.703127220,108.032,12/28/2023 12:00:00 AM,1400,2,2,0,0,CLOUDY,DRY,False,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,12/28/2023 7:19:19 PM,False,601,Accepted,
32654634,0930400,OLDHAM COUNTY POLICE DEPT.,Accepted,OLDHAM,I 0071,,I71 S,,,,,I 0071,I71 S EXIT22 ON RAMP FROM KY53,I 0071,I71 S EXIT19 OFF RAMP TO KY393,38.383366343,-85.415733685,19.289,12/28/2023 12:00:00 AM,0920,1,1,0,1,CLOUDY,WET,False,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/31/2023 4:24:32 PM,False,3105,Accepted,
32648383,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,I65 SB,,,,,I 0065,I65 SB REST AREA113 ON RAMP,I 0065,I65 SB EXIT112 OFF RAMP TO KY245,37.940707224,-85.688702087,112.894,12/28/2023 12:00:00 AM,1207,5,5,0,2,CLOUDY,DRY,True,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/29/2023 12:19:36 PM,False,076,Accepted,
32676402,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 SB,,,,,,,,,38.285469595,-85.507078405,30.000,12/28/2023 12:00:00 AM,1629,2,2,0,1,CLOUDY,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/3/2024 8:21:23 AM,False,7751,Accepted,
32645598,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,KY0353,,RUSSELL CAVE,RD,,,RADCLIFFE,,,,,38.080317639,-84.470288557,0.731,12/28/2023 12:00:00 AM,1140,2,2,0,0,CLEAR,DRY,True,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/28/2023 4:16:13 PM,False,59793,Accepted,
32654632,0930400,OLDHAM COUNTY POLICE DEPT.,Accepted,OLDHAM,I 0071,,I71 S,,,,,I 0071,I71 S REST AREA13 OFF RAMP,I 0071,I71 S EXIT14 ON RAMP FROM KY329,38.339949314,-85.512293355,13.316,12/27/2023 12:00:00 AM,1311,3,3,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,12/31/2023 4:24:24 PM,False,3105,Accepted,
32642670,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,I 0065,109 MM,I65 N,,,,,I 0065,I65 TURN AROUND107,I 0065,I65 TURN AROUND109,37.885472038,-85.698862312,108.914,12/27/2023 12:00:00 AM,1733,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,12/27/2023 10:12:55 PM,False,1229,Accepted,
32647732,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 S,,,,,,,,,38.261724316,-85.502305834,28.141,12/27/2023 12:00:00 AM,0822,2,2,0,0,CLEAR,DRY,True,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DAYLIGHT,,,12/29/2023 7:45:30 AM,False,7772,Accepted,
32660684,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0064,,I64 EB,,,,,,,,,38.222814420,-85.512488115,18.601,12/27/2023 12:00:00 AM,1135,2,2,0,1,CLEAR,DRY,True,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,1/2/2024 9:16:09 AM,False,8461,Accepted,
32636060,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,I 0065,,I65 NB,,,,,,,,,37.897062204,-85.698731473,109.723,12/26/2023 12:00:00 AM,0030,1,1,0,0,CLEAR,WET,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,12/26/2023 7:00:54 AM,False,1323,Accepted,
32731609,0150200,LEBANON JUNCTION POLICE DEPT.,Accepted,BULLITT,I 0065,,I65 N,,,,,,,,,37.825593397,-85.723167690,104.524,12/26/2023 12:00:00 AM,1151,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/16/2024 2:09:36 PM,False,601,Accepted,
