IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus
32655798,150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,I 0065,,I65 N,,,,,,,,,37.89808651,-85.69820485,109.8,12/30/23 0:00,1708,3,3,0,0,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/1/24 0:03,FALSE,1284,Accepted
32660760,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 SB,,,,,,,,,38.24290796,-85.50380744,26.841,12/30/23 0:00,356,1,1,0,0,FOG WITH RAIN,WET,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,1/2/24 9:20,FALSE,5533,Accepted
32660920,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 WB,,,,,,,,,38.21866434,-85.50610208,25.164,12/29/23 0:00,1612,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,1/2/24 9:34,FALSE,8461,Accepted
32646189,150200,LEBANON JUNCTION POLICE DEPT.,Accepted,BULLITT,I 0065,,I65 N,,,,,,,,,37.8730393,-85.70312722,108.032,12/28/23 0:00,1400,2,2,0,0,CLOUDY,DRY,FALSE,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,12/28/23 19:19,FALSE,601,Accepted
32654634,930400,OLDHAM COUNTY POLICE DEPT.,Accepted,OLDHAM,I 0071,,I71 S,,,,,I 0071,I71 S EXIT22 ON RAMP FROM KY53,I 0071,I71 S EXIT19 OFF RAMP TO KY393,38.38336634,-85.41573369,19.289,12/28/23 0:00,920,1,1,0,1,CLOUDY,WET,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/31/23 16:24,FALSE,3105,Accepted
32648383,150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,I65 SB,,,,,I 0065,I65 SB REST AREA113 ON RAMP,I 0065,I65 SB EXIT112 OFF RAMP TO KY245,37.94070722,-85.68870209,112.894,12/28/23 0:00,1207,5,5,0,2,CLOUDY,DRY,TRUE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/29/23 12:19,FALSE,76,Accepted
32676402,568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 SB,,,,,,,,,38.2854696,-85.50707841,30,12/28/23 0:00,1629,2,2,0,1,CLOUDY,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/3/24 8:21,FALSE,7751,Accepted
32645598,340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,KY0353,,RUSSELL CAVE,RD,,,RADCLIFFE,,,,,38.08031764,-84.47028856,0.731,12/28/23 0:00,1140,2,2,0,0,CLEAR,DRY,TRUE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/28/23 16:16,FALSE,59793,Accepted
32654632,930400,OLDHAM COUNTY POLICE DEPT.,Accepted,OLDHAM,I 0071,,I71 S,,,,,I 0071,I71 S REST AREA13 OFF RAMP,I 0071,I71 S EXIT14 ON RAMP FROM KY329,38.33994931,-85.51229336,13.316,12/27/23 0:00,1311,3,3,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,12/31/23 16:24,FALSE,3105,Accepted
32642670,150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,I 0065,109 MM,I65 N,,,,,I 0065,I65 TURN AROUND107,I 0065,I65 TURN AROUND109,37.88547204,-85.69886231,108.914,12/27/23 0:00,1733,2,2,0,0,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,12/27/23 22:12,FALSE,1229,Accepted
