IncidentId,UnitNumber,Factor_Type,Factor,
30997483,1,ENVIRON FACTOR,02,
30997483,1,ENVIRON FACTOR,97,
31057990,1,ENVIRON FACTOR,02,
31067570,1,ENVIRON FACTOR,02,
31067570,2,ENVIRON FACTOR,02,
31067787,1,ENVIRON FACTOR,02,
31067787,1,ENVIRON FACTOR,09,
31067787,2,ENVIRON FACTOR,09,
31069164,1,ENVIRON FACTOR,02,
31069164,2,ENVIRON FACTOR,02,
31069291,1,ENVIRON FACTOR,02,
31069291,2,ENVIRON FACTOR,02,
31086756,1,ENVIRON FACTOR,02,
31086756,2,ENVIRON FACTOR,99,
31089412,1,ENVIRON FACTOR,02,
31089412,1,ENVIRON FACTOR,14,
31089412,2,ENVIRON FACTOR,02,
31089412,2,ENVIRON FACTOR,14,
31089437,1,ENVIRON FACTOR,02,
31089437,1,ENVIRON FACTOR,97,
31089437,2,ENVIRON FACTOR,99,
31100643,1,ENVIRON FACTOR,02,
31100659,1,ENVIRON FACTOR,02,
31100689,1,ENVIRON FACTOR,02,
31100689,2,ENVIRON FACTOR,02,
31100692,1,ENVIRON FACTOR,02,
31100692,2,ENVIRON FACTOR,02,
31116411,1,ENVIRON FACTOR,02,
31116411,2,ENVIRON FACTOR,02,
31117260,1,ENVIRON FACTOR,02,
31126327,1,ENVIRON FACTOR,11,
31126327,2,ENVIRON FACTOR,02,
31126327,2,ENVIRON FACTOR,11,
31141490,1,ENVIRON FACTOR,02,
31141490,1,ENVIRON FACTOR,09,
31143988,1,ENVIRON FACTOR,02,
31143988,2,ENVIRON FACTOR,02,
31150112,1,ENVIRON FACTOR,02,
31150112,1,ENVIRON FACTOR,16,
31150112,2,ENVIRON FACTOR,99,
31152468,1,ENVIRON FACTOR,02,
31152468,2,ENVIRON FACTOR,02,
31175671,1,ENVIRON FACTOR,02,
31175671,2,ENVIRON FACTOR,02,
31177564,1,ENVIRON FACTOR,02,
31183207,1,ENVIRON FACTOR,02,
31183207,1,ENVIRON FACTOR,04,
31193600,1,ENVIRON FACTOR,17,
31193600,1,ENVIRON FACTOR,02,
31193600,2,ENVIRON FACTOR,17,
31193600,2,ENVIRON FACTOR,02,
31193600,3,ENVIRON FACTOR,17,
31193600,3,ENVIRON FACTOR,02,
31193600,4,ENVIRON FACTOR,17,
31193600,4,ENVIRON FACTOR,02,
31193600,5,ENVIRON FACTOR,17,
31193600,5,ENVIRON FACTOR,02,
31193600,6,ENVIRON FACTOR,17,
31193600,6,ENVIRON FACTOR,02,
31193600,7,ENVIRON FACTOR,17,
31193600,7,ENVIRON FACTOR,02,
31204849,1,ENVIRON FACTOR,02,
31204849,2,ENVIRON FACTOR,02,
31204858,1,ENVIRON FACTOR,99,
31204858,2,ENVIRON FACTOR,02,
31204862,1,ENVIRON FACTOR,02,
31204862,2,ENVIRON FACTOR,02,
31204939,2,ENVIRON FACTOR,02,
31204998,1,ENVIRON FACTOR,02,
31204998,2,ENVIRON FACTOR,02,
31215638,1,ENVIRON FACTOR,02,
31215638,2,ENVIRON FACTOR,02,
31215638,3,ENVIRON FACTOR,02,
31217420,1,ENVIRON FACTOR,02,
31217420,2,ENVIRON FACTOR,99,
31228912,1,ENVIRON FACTOR,02,
31228912,2,ENVIRON FACTOR,02,
31233366,1,ENVIRON FACTOR,02,
31233366,2,ENVIRON FACTOR,02,
31233368,1,ENVIRON FACTOR,02,
31233368,2,ENVIRON FACTOR,02,
31233370,1,ENVIRON FACTOR,02,
31233370,2,ENVIRON FACTOR,02,
31233370,3,ENVIRON FACTOR,02,
31234916,1,ENVIRON FACTOR,02,
31234916,2,ENVIRON FACTOR,02,
31242750,1,ENVIRON FACTOR,02,
31242750,2,ENVIRON FACTOR,99,
31242769,1,ENVIRON FACTOR,17,
31242769,1,ENVIRON FACTOR,02,
31242769,2,ENVIRON FACTOR,17,
31242769,2,ENVIRON FACTOR,02,
31242895,1,ENVIRON FACTOR,02,
31242895,2,ENVIRON FACTOR,02,
31248147,1,ENVIRON FACTOR,02,
31248147,2,ENVIRON FACTOR,02,
31258296,1,ENVIRON FACTOR,17,
31258296,1,ENVIRON FACTOR,02,
31258296,2,ENVIRON FACTOR,17,
31258296,2,ENVIRON FACTOR,02,
31258840,1,ENVIRON FACTOR,09,
31258840,2,ENVIRON FACTOR,02,
31258840,2,ENVIRON FACTOR,97,
31261945,1,ENVIRON FACTOR,17,
31261945,1,ENVIRON FACTOR,02,
31261945,2,ENVIRON FACTOR,17,
31261945,2,ENVIRON FACTOR,02,
31262213,1,ENVIRON FACTOR,02,
31262213,2,ENVIRON FACTOR,99,
31265874,1,ENVIRON FACTOR,02,
31265874,1,ENVIRON FACTOR,04,
31265874,1,ENVIRON FACTOR,16,
31265874,2,ENVIRON FACTOR,99,
31268789,1,ENVIRON FACTOR,02,
31268789,1,ENVIRON FACTOR,11,
31268789,2,ENVIRON FACTOR,02,
31268789,2,ENVIRON FACTOR,11,
31268789,3,ENVIRON FACTOR,02,
31268947,1,ENVIRON FACTOR,02,
31268947,2,ENVIRON FACTOR,02,
31268947,3,ENVIRON FACTOR,02,
31269994,1,ENVIRON FACTOR,02,
31270884,1,ENVIRON FACTOR,02,
31270884,2,ENVIRON FACTOR,99,
31274024,1,ENVIRON FACTOR,02,
31274024,1,ENVIRON FACTOR,97,
31276875,1,ENVIRON FACTOR,02,
31277256,1,ENVIRON FACTOR,02,
31281143,1,ENVIRON FACTOR,02,
31281143,2,ENVIRON FACTOR,02,
31283833,1,ENVIRON FACTOR,97,
31283833,2,ENVIRON FACTOR,02,
31287459,2,ENVIRON FACTOR,02,
31287459,1,ENVIRON FACTOR,09,
31289142,1,ENVIRON FACTOR,02,
31290950,1,ENVIRON FACTOR,02,
31294892,1,ENVIRON FACTOR,02,
31294892,1,ENVIRON FACTOR,11,
31294892,2,ENVIRON FACTOR,02,
31294892,2,ENVIRON FACTOR,11,
31294892,3,ENVIRON FACTOR,02,
31294892,3,ENVIRON FACTOR,11,
31303319,1,ENVIRON FACTOR,02,
31303319,2,ENVIRON FACTOR,99,
31306014,1,ENVIRON FACTOR,17,
31306014,1,ENVIRON FACTOR,02,
31306014,2,ENVIRON FACTOR,17,
31306014,2,ENVIRON FACTOR,02,
31310556,1,ENVIRON FACTOR,02,
31310556,1,ENVIRON FACTOR,97,
31310556,2,ENVIRON FACTOR,02,
31310556,2,ENVIRON FACTOR,97,
31314237,1,ENVIRON FACTOR,02,
31314237,1,ENVIRON FACTOR,03,
31315270,1,ENVIRON FACTOR,02,
31320478,1,ENVIRON FACTOR,02,
31320478,1,ENVIRON FACTOR,11,
31320478,2,ENVIRON FACTOR,02,
31320478,2,ENVIRON FACTOR,11,
31322914,1,ENVIRON FACTOR,02,
31322914,2,ENVIRON FACTOR,02,
31327211,1,ENVIRON FACTOR,02,
31327211,2,ENVIRON FACTOR,99,
31328001,1,ENVIRON FACTOR,02,
31328001,1,ENVIRON FACTOR,07,
31328001,2,ENVIRON FACTOR,07,
31331077,1,ENVIRON FACTOR,02,
31336158,1,ENVIRON FACTOR,02,
31336158,1,ENVIRON FACTOR,97,
31336158,2,ENVIRON FACTOR,02,
31336158,2,ENVIRON FACTOR,97,
31338582,1,ENVIRON FACTOR,02,
31338582,2,ENVIRON FACTOR,02,
31351170,1,ENVIRON FACTOR,02,
31351170,1,ENVIRON FACTOR,09,
31351170,2,ENVIRON FACTOR,09,
31351170,3,ENVIRON FACTOR,09,
31351170,4,ENVIRON FACTOR,09,
31352117,1,ENVIRON FACTOR,02,
31352117,2,ENVIRON FACTOR,02,
31352946,1,ENVIRON FACTOR,02,
31352946,1,ENVIRON FACTOR,12,
31352946,2,ENVIRON FACTOR,02,
31357011,1,ENVIRON FACTOR,02,
31357011,2,ENVIRON FACTOR,99,
31357493,1,ENVIRON FACTOR,02,
31357493,2,ENVIRON FACTOR,02,
31358449,1,ENVIRON FACTOR,02,
31358449,1,ENVIRON FACTOR,11,
31358449,2,ENVIRON FACTOR,02,
31358449,2,ENVIRON FACTOR,11,
31369590,1,ENVIRON FACTOR,02,
31369590,2,ENVIRON FACTOR,02,
31371172,1,ENVIRON FACTOR,02,
31373017,1,ENVIRON FACTOR,02,
31373017,2,ENVIRON FACTOR,99,
31373871,1,ENVIRON FACTOR,02,
31373871,2,ENVIRON FACTOR,02,
31374624,1,ENVIRON FACTOR,02,
31374624,2,ENVIRON FACTOR,02,
31374624,3,ENVIRON FACTOR,02,
31380114,1,ENVIRON FACTOR,02,
31380114,2,ENVIRON FACTOR,02,
31383296,1,ENVIRON FACTOR,17,
31383296,1,ENVIRON FACTOR,02,
31383296,2,ENVIRON FACTOR,17,
31383296,2,ENVIRON FACTOR,02,
31385162,1,ENVIRON FACTOR,02,
31385162,1,ENVIRON FACTOR,97,
31385162,2,ENVIRON FACTOR,02,
31385162,2,ENVIRON FACTOR,97,
31388548,1,ENVIRON FACTOR,02,
31388548,1,ENVIRON FACTOR,05,
31388548,2,ENVIRON FACTOR,02,
31388548,3,ENVIRON FACTOR,02,
31388548,3,ENVIRON FACTOR,05,
31388637,1,ENVIRON FACTOR,17,
31388637,1,ENVIRON FACTOR,02,
31388637,2,ENVIRON FACTOR,17,
31388637,2,ENVIRON FACTOR,02,
31388814,2,ENVIRON FACTOR,99,
31388814,1,ENVIRON FACTOR,02,
31392461,1,ENVIRON FACTOR,02,
31393251,1,ENVIRON FACTOR,02,
31393251,2,ENVIRON FACTOR,02,
31393251,3,ENVIRON FACTOR,02,
31393848,1,ENVIRON FACTOR,02,
31393848,2,ENVIRON FACTOR,02,
31393848,3,ENVIRON FACTOR,02,
31394631,1,ENVIRON FACTOR,02,
31394631,2,ENVIRON FACTOR,02,
31399418,1,ENVIRON FACTOR,02,
31399418,2,ENVIRON FACTOR,99,
31400477,1,ENVIRON FACTOR,97,
31400477,2,ENVIRON FACTOR,02,
31400906,1,ENVIRON FACTOR,02,
31400906,1,ENVIRON FACTOR,09,
31400906,2,ENVIRON FACTOR,02,
31402676,1,ENVIRON FACTOR,02,
31402676,2,ENVIRON FACTOR,02,
31403467,1,ENVIRON FACTOR,02,
31403467,2,ENVIRON FACTOR,99,
31411884,1,ENVIRON FACTOR,02,
31411884,1,ENVIRON FACTOR,03,
31417092,1,ENVIRON FACTOR,02,
31418555,1,ENVIRON FACTOR,02,
31423602,1,ENVIRON FACTOR,02,
31423602,2,ENVIRON FACTOR,02,
31426467,1,ENVIRON FACTOR,02,
31426467,2,ENVIRON FACTOR,02,
31429937,1,ENVIRON FACTOR,02,
31429937,2,ENVIRON FACTOR,02,
31437911,1,ENVIRON FACTOR,02,
31437911,1,ENVIRON FACTOR,11,
31437911,2,ENVIRON FACTOR,02,
31441959,1,ENVIRON FACTOR,02,
31441959,2,ENVIRON FACTOR,02,
31442377,1,ENVIRON FACTOR,02,
31442377,2,ENVIRON FACTOR,02,
31445065,1,ENVIRON FACTOR,02,
31450618,1,ENVIRON FACTOR,02,
31450618,2,ENVIRON FACTOR,02,
31453898,1,ENVIRON FACTOR,02,
31453898,1,ENVIRON FACTOR,03,
31460521,1,ENVIRON FACTOR,02,
31460521,2,ENVIRON FACTOR,99,
31462582,1,ENVIRON FACTOR,02,
31469503,1,ENVIRON FACTOR,02,
31469503,1,ENVIRON FACTOR,09,
31469503,2,ENVIRON FACTOR,02,
31469581,1,ENVIRON FACTOR,02,
31469581,2,ENVIRON FACTOR,99,
31470541,1,ENVIRON FACTOR,02,
31470541,2,ENVIRON FACTOR,99,
31473988,1,ENVIRON FACTOR,02,
31474285,1,ENVIRON FACTOR,02,
31474285,1,ENVIRON FACTOR,11,
31474285,2,ENVIRON FACTOR,99,
31474327,1,ENVIRON FACTOR,17,
31474327,1,ENVIRON FACTOR,02,
31474327,2,ENVIRON FACTOR,17,
31474327,2,ENVIRON FACTOR,02,
31474327,3,ENVIRON FACTOR,17,
31474327,3,ENVIRON FACTOR,02,
31474334,1,ENVIRON FACTOR,02,
31474334,2,ENVIRON FACTOR,02,
31474946,1,ENVIRON FACTOR,02,
31474946,1,ENVIRON FACTOR,03,
31479041,1,ENVIRON FACTOR,02,
31479041,2,ENVIRON FACTOR,99,
31480085,1,ENVIRON FACTOR,02,
31480085,2,ENVIRON FACTOR,02,
31480136,1,ENVIRON FACTOR,02,
31480136,2,ENVIRON FACTOR,02,
31482132,1,ENVIRON FACTOR,02,
31482132,2,ENVIRON FACTOR,02,
31482135,1,ENVIRON FACTOR,02,
31482135,2,ENVIRON FACTOR,02,
31482621,1,ENVIRON FACTOR,02,
31482621,2,ENVIRON FACTOR,02,
31487265,1,ENVIRON FACTOR,02,
31487265,2,ENVIRON FACTOR,02,
31487265,3,ENVIRON FACTOR,02,
31487834,1,ENVIRON FACTOR,02,
31487834,2,ENVIRON FACTOR,02,
31490063,1,ENVIRON FACTOR,02,
31490063,2,ENVIRON FACTOR,17,
31490576,1,ENVIRON FACTOR,02,
31490576,2,ENVIRON FACTOR,02,
31490824,1,ENVIRON FACTOR,02,
31490824,1,ENVIRON FACTOR,12,
31490824,2,ENVIRON FACTOR,99,
31490824,3,ENVIRON FACTOR,02,
31490824,3,ENVIRON FACTOR,12,
31493145,1,ENVIRON FACTOR,02,
31493838,1,ENVIRON FACTOR,02,
31493838,2,ENVIRON FACTOR,02,
31498443,1,ENVIRON FACTOR,02,
31498443,2,ENVIRON FACTOR,02,
31499641,1,ENVIRON FACTOR,02,
31499641,2,ENVIRON FACTOR,99,
31505280,1,ENVIRON FACTOR,02,
31505280,2,ENVIRON FACTOR,02,
31505454,1,ENVIRON FACTOR,02,
31505454,2,ENVIRON FACTOR,02,
31510470,1,ENVIRON FACTOR,02,
31510470,2,ENVIRON FACTOR,02,
31511974,1,ENVIRON FACTOR,02,
31511974,2,ENVIRON FACTOR,02,
31513360,1,ENVIRON FACTOR,02,
31513360,2,ENVIRON FACTOR,02,
31515691,1,ENVIRON FACTOR,02,
31515691,1,ENVIRON FACTOR,06,
31516501,1,ENVIRON FACTOR,99,
31516501,2,ENVIRON FACTOR,02,
31516501,2,ENVIRON FACTOR,99,
