IncidentId,TrafficControlNo,TrafficControl,
29540000,1,STOP SIGN,
29545231,1,MEDIAN,
29556449,1,MEDIAN,
29572470,1,ADVISORY SPEED SIGN,
29572470,2,CENTER LINE,
29572470,3,WARNING SIGNS,
29576130,1,MEDIAN,
29576130,2,STOP & GO SIGNAL,
29576586,1,MEDIAN,
29576586,2,ADVISORY SPEED SIGN,
29577097,1,ADVISORY SPEED SIGN,
29577097,2,CENTER LINE,
29577097,3,OFFICER OR FLAGMAN,
29577097,4,WARNING SIGNS,
29583737,1,ADVISORY SPEED SIGN,
29584268,1,MEDIAN,
29589574,1,ADVISORY SPEED SIGN,
29589574,2,CENTER LINE,
29589574,3,STOP SIGN,
29593769,1,MEDIAN,
29593769,2,ADVISORY SPEED SIGN,
29595314,1,MEDIAN,
29596028,1,MEDIAN,
29604683,1,CENTER LINE,
29618331,1,MEDIAN,
29620589,1,CENTER LINE,
29620589,2,STOP & GO SIGNAL,
29621209,1,STOP & GO SIGNAL,
29624885,1,MEDIAN,
29628996,1,MEDIAN,
29631522,1,CENTER LINE,
29635624,1,MEDIAN,
29638037,1,OTHER,
29639103,1,ADVISORY SPEED SIGN,
29639103,2,CENTER LINE,
29639103,3,STOP & GO SIGNAL,
29645853,1,ADVISORY SPEED SIGN,
29645853,2,CENTER LINE,
29645853,3,OFFICER OR FLAGMAN,
29654154,1,MEDIAN,
29654420,1,ADVISORY SPEED SIGN,
29654420,2,CENTER LINE,
29654420,3,STOP & GO SIGNAL,
29672618,1,NONE,
29692653,1,STOP & GO SIGNAL,
29705815,1,CENTER LINE,
29705815,2,FLASHING LIGHT,
29705815,3,OTHER,
29705815,4,WARNING SIGNS,
29706000,1,MEDIAN,
29708462,1,MEDIAN,
29708462,2,STOP & GO SIGNAL,
29710941,1,NONE,
29719170,1,STOP & GO SIGNAL,
29719170,2,WARNING SIGNS,
29725678,1,OTHER,
29726502,1,MEDIAN,
29733147,1,ADVISORY SPEED SIGN,
29750595,1,MEDIAN,
29750595,2,ADVISORY SPEED SIGN,
29750595,3,CENTER LINE,
29750595,4,WARNING SIGNS,
29754591,1,MEDIAN,
29768565,1,MEDIAN,
29768844,1,ADVISORY SPEED SIGN,
29768844,2,CENTER LINE,
29768844,3,NO PASSING ZONE,
29777540,1,FLASHING LIGHT,
29781084,1,MEDIAN,
29783247,1,MEDIAN,
29783623,1,ADVISORY SPEED SIGN,
29783623,2,STOP & GO SIGNAL,
29783931,1,CENTER LINE,
29783931,2,STOP SIGN,
29786850,1,STOP & GO SIGNAL,
29786859,1,NONE,
29787796,1,CENTER LINE,
29787796,2,STOP SIGN,
29793192,1,MEDIAN,
29793192,2,ADVISORY SPEED SIGN,
29795763,1,STOP SIGN,
29798528,1,WARNING SIGNS,
29806440,1,CENTER LINE,
29806440,2,STOP & GO SIGNAL,
29812119,1,MEDIAN,
29822112,1,MEDIAN,
29826471,1,STOP & GO SIGNAL,
29830529,1,CENTER LINE,
29831047,1,MEDIAN,
29831047,2,ADVISORY SPEED SIGN,
29831059,1,STOP SIGN,
29833003,1,NONE,
29835364,1,MEDIAN,
29835364,2,CENTER LINE,
29835883,1,ADVISORY SPEED SIGN,
29835883,2,STOP & GO SIGNAL,
29837390,1,MEDIAN,
29841018,1,OTHER,
29841018,2,WARNING SIGNS,
29842428,1,MEDIAN,
29846052,1,MEDIAN,
29846052,2,OTHER,
29846060,1,MEDIAN,
29847466,1,MEDIAN,
29848502,1,MEDIAN,
29860022,1,MEDIAN,
29860022,2,WARNING SIGNS,
29863298,1,FLASHING LIGHT,
29863298,2,NO PASSING ZONE,
29863298,3,OTHER,
29863302,1,OTHER,
29864098,1,MEDIAN,
29864100,1,MEDIAN,
29864100,2,ADVISORY SPEED SIGN,
29869254,1,MEDIAN,
29869357,1,WARNING SIGNS,
29869357,2,YIELD SIGN,
29869958,1,ACCELERATIONDECELERATION LANE,
29869958,2,CENTER LINE,
29869958,3,YIELD SIGN,
29882897,1,MEDIAN,
29886712,1,MEDIAN,
29892273,1,MEDIAN,
29892273,2,ADVISORY SPEED SIGN,
29892273,3,OTHER,
29893808,1,OTHER,
29906135,1,MEDIAN,
29906279,1,MEDIAN,
29910509,1,MEDIAN,
29913780,1,MEDIAN,
29913780,2,OTHER,
29913780,3,YIELD SIGN,
29915633,1,STOP & GO SIGNAL,
29917013,1,MEDIAN,
29923181,1,CENTER LINE,
29923181,2,STOP SIGN,
29923181,3,WARNING SIGNS,
29923409,1,OFFICER OR FLAGMAN,
29928499,1,MEDIAN,
29929393,1,MEDIAN,
29930240,1,NONE,
29941441,1,MEDIAN,
29941441,2,CENTER LINE,
29947895,1,ADVISORY SPEED SIGN,
29947895,2,CENTER LINE,
29947895,3,OFFICER OR FLAGMAN,
29947895,4,WARNING SIGNS,
29950342,1,MEDIAN,
29950700,1,OTHER,
29951438,1,MEDIAN,
29953782,1,MEDIAN,
29953782,2,CENTER LINE,
29953782,3,CURVE SIGN,
29954793,1,NONE,
29956957,1,OFFICER OR FLAGMAN,
29956957,2,OTHER,
29957509,1,NONE,
29962239,1,CENTER LINE,
29962239,2,STOP & GO SIGNAL,
29970138,1,STOP & GO SIGNAL,
29970265,1,NONE,
29970476,1,CENTER LINE,
29970607,1,CENTER LINE,
29976414,1,MEDIAN,
29976414,2,OTHER,
29976416,1,MEDIAN,
29976416,2,OTHER,
29976416,3,WARNING SIGNS,
29976417,1,MEDIAN,
29977181,1,MEDIAN,
29978104,1,MEDIAN,
29978211,1,MEDIAN,
29978338,1,ADVISORY SPEED SIGN,
29979786,1,CROSSWALK,
29979786,2,STOP & GO SIGNAL,
29979969,1,MEDIAN,
29980755,1,CENTER LINE,
29980755,2,OTHER,
29981525,1,NONE,
29982349,1,CENTER LINE,
29983176,1,STOP SIGN,
29984582,1,NONE,
29986389,1,MEDIAN,
29989091,1,NONE,
29991787,1,NONE,
29992964,1,MEDIAN,
29993159,1,MEDIAN,
29993467,1,MEDIAN,
29996739,1,NONE,
29999898,1,MEDIAN,
30000513,1,ADVISORY SPEED SIGN,
30000513,2,NO PASSING ZONE,
30001885,1,NONE,
30003051,1,WARNING SIGNS,
30003664,1,ADVISORY SPEED SIGN,
30003664,2,CENTER LINE,
30003664,3,OFFICER OR FLAGMAN,
30007539,1,CENTER LINE,
30007795,1,NONE,
30008332,1,CENTER LINE,
30011569,1,MEDIAN,
30011569,2,ADVISORY SPEED SIGN,
30011569,3,WARNING SIGNS,
30014629,1,NONE,
30016145,1,MEDIAN,
30016268,1,ADVISORY SPEED SIGN,
30016268,2,WARNING SIGNS,
30016301,1,NONE,
30016309,1,MEDIAN,
30016309,2,ADVISORY SPEED SIGN,
30016309,3,CENTER LINE,
30022714,1,MEDIAN,
30022714,2,WARNING SIGNS,
30023088,1,MEDIAN,
30023088,2,ADVISORY SPEED SIGN,
30024733,1,NONE,
30025646,1,MEDIAN,
30026111,1,OTHER,
30026606,1,CENTER LINE,
30028255,1,CENTER LINE,
30029904,1,CENTER LINE,
30032698,1,ADVISORY SPEED SIGN,
30032698,2,CENTER LINE,
30032698,3,NO PASSING ZONE,
30036202,1,CENTER LINE,
30038575,1,NONE,
30041229,1,MEDIAN,
30041229,2,STOP & GO SIGNAL,
30044018,1,MEDIAN,
30044018,2,ADVISORY SPEED SIGN,
30045407,1,ADVISORY SPEED SIGN,
30045407,2,OTHER,
30045407,3,WARNING SIGNS,
30048206,1,NONE,
30050446,1,MEDIAN,
30050449,1,MEDIAN,
30050449,2,ADVISORY SPEED SIGN,
30050449,3,CENTER LINE,
30053363,1,CENTER LINE,
30053363,2,NO PASSING ZONE,
30054168,1,MEDIAN,
30054168,2,ADVISORY SPEED SIGN,
30054168,3,CENTER LINE,
30054216,1,MEDIAN,
30054216,2,WARNING SIGNS,
30054850,1,MEDIAN,
30054853,1,ADVISORY SPEED SIGN,
30054853,2,CENTER LINE,
30054853,3,STOP & GO SIGNAL,
30055685,1,CENTER LINE,
30055985,1,MEDIAN,
30055985,2,STOP & GO SIGNAL,
30057706,1,MEDIAN,
30057706,2,OFFICER OR FLAGMAN,
30059359,1,MEDIAN,
30059538,1,MEDIAN,
30059538,2,CENTER LINE,
30059538,3,STOP & GO SIGNAL,
30060604,1,MEDIAN,
30060606,1,MEDIAN,
30060606,2,STOP & GO SIGNAL,
30060650,1,OTHER,
30060931,1,MEDIAN,
30061409,1,MEDIAN,
30061409,2,ADVISORY SPEED SIGN,
30062040,1,MEDIAN,
30062040,2,WARNING SIGNS,
30062040,3,FLASHING LIGHT,
30062046,1,WARNING SIGNS,
30063283,1,MEDIAN,
30063283,2,OTHER,
30063514,1,STOP SIGN,
30063863,1,MEDIAN,
30064216,1,MEDIAN,
30064216,2,STOP & GO SIGNAL,
30064587,1,MEDIAN,
30064587,2,CENTER LINE,
30065345,1,ADVISORY SPEED SIGN,
30065345,2,CENTER LINE,
30065571,1,STOP SIGN,
30067702,1,MEDIAN,
30069227,1,MEDIAN,
30069227,2,ADVISORY SPEED SIGN,
30069229,1,MEDIAN,
30069229,2,CENTER LINE,
30069229,3,OTHER,
30070190,1,MEDIAN,
30070190,2,STOP & GO SIGNAL,
30070315,1,OFFICER OR FLAGMAN,
30070315,2,STOP & GO SIGNAL,
30070717,1,MEDIAN,
30070717,2,ADVISORY SPEED SIGN,
30070717,3,YIELD SIGN,
30073350,1,MEDIAN,
30077603,1,CENTER LINE,
30077603,2,NO PASSING ZONE,
30078372,1,MEDIAN,
30078372,2,ADVISORY SPEED SIGN,
30078400,1,ADVISORY SPEED SIGN,
30078400,2,CENTER LINE,
30078400,3,MEDIAN,
30078400,4,NO PASSING ZONE,
30078634,1,MEDIAN,
30078634,2,STOP & GO SIGNAL,
30082418,1,MEDIAN,
30083545,1,CENTER LINE,
30083545,2,STOP SIGN,
30085377,1,OTHER,
30085377,2,STOP & GO SIGNAL,
30089216,1,ADVISORY SPEED SIGN,
30089216,2,CENTER LINE,
30091438,1,CENTER LINE,
30091438,2,SCHOOL ZONE SIGN,
30094990,1,WARNING SIGNS,
30095896,1,ADVISORY SPEED SIGN,
30095896,2,CENTER LINE,
30095896,3,OFFICER OR FLAGMAN,
30097208,1,OFFICER OR FLAGMAN,
30097208,2,STOP SIGN,
30097888,1,MEDIAN,
30098135,1,STOP & GO SIGNAL,
30098483,1,STOP & GO SIGNAL,
30099074,1,MEDIAN,
30099888,1,CENTER LINE,
30100727,1,MEDIAN,
30100727,2,OTHER,
30101046,1,MEDIAN,
30101046,2,FLASHING LIGHT,
30101046,3,YIELD SIGN,
30102039,1,NONE,
30103698,1,CENTER LINE,
30106762,1,MEDIAN,
30106762,2,OTHER,
30107663,1,MEDIAN,
30107663,2,STOP & GO SIGNAL,
30108309,1,CENTER LINE,
30108309,2,OFFICER OR FLAGMAN,
30108309,3,STOP & GO SIGNAL,
30109671,1,ADVISORY SPEED SIGN,
30109671,2,CENTER LINE,
30109805,1,ADVISORY SPEED SIGN,
30109805,2,CENTER LINE,
30111101,1,MEDIAN,
30115866,1,NONE,
30120289,1,MEDIAN,
30120289,2,ADVISORY SPEED SIGN,
30124870,1,MEDIAN,
30124877,1,MEDIAN,
30124877,2,OTHER,
30125991,1,ADVISORY SPEED SIGN,
30125991,2,CENTER LINE,
30125991,3,OFFICER OR FLAGMAN,
30128923,1,MEDIAN,
30134486,1,MEDIAN,
30134486,2,WARNING SIGNS,
30136172,1,MEDIAN,
30141594,1,CENTER LINE,
30141594,2,STOP & GO SIGNAL,
30142293,1,MEDIAN,
30148185,1,OTHER,
30148185,2,WARNING SIGNS,
30148831,1,MEDIAN,
30148984,1,MEDIAN,
30150682,1,MEDIAN,
30153923,1,CENTER LINE,
30154381,1,STOP & GO SIGNAL,
30160951,1,MEDIAN,
30160951,2,STOP SIGN,
30162446,1,MEDIAN,
30162623,1,MEDIAN,
30162623,2,ADVISORY SPEED SIGN,
30162623,3,WARNING SIGNS,
30163253,1,MEDIAN,
30163253,2,WARNING SIGNS,
30163730,1,OTHER,
30164386,1,OFFICER OR FLAGMAN,
30167120,1,MEDIAN,
30167120,2,ADVISORY SPEED SIGN,
30167120,3,CENTER LINE,
30167282,1,MEDIAN,
30167283,1,MEDIAN,
30167283,2,ADVISORY SPEED SIGN,
30171177,1,MEDIAN,
30171177,2,WARNING SIGNS,
30171361,1,OTHER,
30171561,1,ADVISORY SPEED SIGN,
30171561,2,STOP & GO SIGNAL,
30173458,1,STOP SIGN,
30176501,1,MEDIAN,
30176501,2,ADVISORY SPEED SIGN,
30176685,1,ADVISORY SPEED SIGN,
30176685,2,OTHER,
30176685,3,WARNING SIGNS,
30176686,1,ADVISORY SPEED SIGN,
30176686,2,MEDIAN,
30179445,1,CENTER LINE,
30179445,2,OTHER,
30179496,1,MEDIAN,
30179496,2,ADVISORY SPEED SIGN,
30179496,3,NO PASSING ZONE,
30179496,4,OTHER,
30179496,5,WARNING SIGNS,
30179550,1,MEDIAN,
30179550,2,ADVISORY SPEED SIGN,
30179550,3,CENTER LINE,
30180808,1,CURVE SIGN,
30181277,1,MEDIAN,
30182629,1,MEDIAN,
30183143,1,STOP SIGN,
30185641,1,ADVISORY SPEED SIGN,
30185641,2,CENTER LINE,
30186673,1,CENTER LINE,
30186673,2,STOP & GO SIGNAL,
30186673,3,WARNING SIGNS,
30187069,1,MEDIAN,
30187069,2,ADVISORY SPEED SIGN,
30188757,1,CENTER LINE,
30188757,2,STOP & GO SIGNAL,
