IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
31014534,1140000,WARREN COUNTY SHERIFF DEPT.,Accepted,WARREN,KY0622,,PLANO,RD,,,PLANO RICHPOND,,,,,36.880250363,-86.418665189,5.261,12/31/2022 12:00:00 AM,1725,2,2,0,0,CLOUDY,WET,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,1/3/2023 6:09:07 PM,False,415,Accepted,
30997413,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 NB,,,I 0265,I265 NB EXIT27 ON RAMP FROM US60,,,,,38.247798963,-85.502987000,27.216,12/30/2022 12:00:00 AM,1256,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/2/2023 10:04:22 AM,False,8410,Accepted,
30987621,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 NB,,,,,,,,,38.278503059,-85.500062399,29.370,12/28/2022 12:00:00 AM,1558,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/30/2022 8:39:14 AM,False,7751,Accepted,
30997863,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0480,,CEDAR GROVE,RD,,,,,,,,37.979517849,-85.668603285,2.566,12/27/2022 12:00:00 AM,0952,1,1,0,0,CLOUDY,WET,False,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,1/2/2023 11:59:05 AM,False,089,Accepted,
30983788,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 N,,,,,,,,,38.222423202,-85.505499084,25.459,12/27/2022 12:00:00 AM,1906,2,2,0,0,CLOUDY,WET,False,COLLISION WITH NON-FIXED OBJECT ,BACKING,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,12/29/2022 9:18:44 AM,False,5329,Accepted,
31173570,0470000,HARDIN COUNTY SHERIFF DEPT.,Accepted,HARDIN,I 0065,,I65 SB,,,,,,,,,37.594936738,-85.869147655,85.609,12/25/2022 12:00:00 AM,1430,1,1,0,0,CLEAR,WET,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,2/1/2023 10:43:33 AM,False,988,Accepted,
31154772,KSP0400,KY STATE POLICE POST 04,Accepted,HARDIN,I 0065,,I65 S,,,,,,,,,37.575486429,-85.873356005,84.236,12/22/2022 12:00:00 AM,2122,2,2,0,2,BLOWING SAND/SOIL/DIRT/SNOW,SNOW/SLUSH,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,1/27/2023 4:25:39 PM,False,149,Accepted,
30964992,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,ABBOTTS BEACH,,,,,38.011684145,-85.928541915,1.060,12/21/2022 12:00:00 AM,0555,2,2,0,0,CLOUDY,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAWN,,,12/22/2022 7:21:31 AM,False,2936,Accepted,
30965865,0370200,KY STATE POLICE CVE,Accepted,HENRY,I 0071,,I71 S,,,,,,,,,38.555169967,-85.203761179,36.320,12/20/2022 12:00:00 AM,1350,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,12/22/2022 11:04:49 AM,False,C-109,Accepted,
31059529,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,I 0075,,I75 N,,,,,I 0075,I75 N EXIT113 OFF RAMP TO US27,I 0064,I64 W,38.074810930,-84.454832570,112.800,12/16/2022 12:00:00 AM,0848,3,3,0,1,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,1/9/2023 1:00:30 PM,False,49746,Accepted,
