IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
32682385,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32686843,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32700076,,2,09,,,,,,,,,,,,,,,,,,,,,,,
32702194,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32709983,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32714074,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32728816,,1,09,,,,,,,,,,,,,,,,,,,,,,,
32747062,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32747062,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32750312,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
32750402,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32768176,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32770580,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
32774475,8,20,08,,,,True,False,,,,,,,,,,,,,,,,,,
32775587,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32776771,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32777994,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32777994,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32794984,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32795317,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32797962,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32797962,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
32810423,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32806149,,6,07,,,,,,,,,,,,,,,,,,,,,,,
32820177,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32820177,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32826965,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
32832100,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32832491,,1,09,,,,,,,,,,,,,,,,,,,,,,,
32832491,,3,07,,,,,,,,,,,,,,,,,,,,,,,
32844492,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32844492,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
32846496,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32846496,,3,09,,,,,,,,,,,,,,,,,,,,,,,
32846883,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32846883,,5,07,,53,,,,,,,,,,,,,,,,,,,,,
32863012,3,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32870255,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32878865,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32880874,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32880874,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32880874,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
32882832,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32882832,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32890651,,3,09,,,,,,,,,,,,,,,,,,,,,,,
32892624,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32893165,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32894322,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32894322,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
32899838,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32903647,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32903647,,6,09,,,,,,,,,,,,,,,,,,,,,,,
32915773,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32915773,,4,09,,,,,,,,,,,,,,,,,,,,,,,
32921514,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32921513,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32921514,2,10,08,,,,True,False,,,,,,,,,,,,,,,,,,
32922019,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
32933584,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32944295,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
32948609,,2,09,,,,,,,,,,,,,,,,,,,,,,,
