IncidentId,UnitNumber,Factor_Type,Factor,
27633727,1,HUMAN FACTOR,08,
27633727,1,VEHICULAR FACTOR,99,
27633727,2,HUMAN FACTOR,99,
27633727,2,VEHICULAR FACTOR,99,
27657115,1,HUMAN FACTOR,18,
27657115,1,VEHICULAR FACTOR,99,
27657891,1,HUMAN FACTOR,14,
27657891,1,VEHICULAR FACTOR,99,
27657891,2,HUMAN FACTOR,99,
27657891,2,VEHICULAR FACTOR,99,
27661484,1,HUMAN FACTOR,01,
27661484,1,VEHICULAR FACTOR,99,
27661484,2,HUMAN FACTOR,99,
27661484,2,VEHICULAR FACTOR,99,
27662939,1,HUMAN FACTOR,26,
27662939,1,VEHICULAR FACTOR,99,
27662939,2,HUMAN FACTOR,99,
27662939,2,VEHICULAR FACTOR,99,
27666327,1,HUMAN FACTOR,97,
27666327,1,VEHICULAR FACTOR,99,
27666327,2,HUMAN FACTOR,97,
27666327,2,VEHICULAR FACTOR,99,
27685188,1,HUMAN FACTOR,14,
27685188,1,VEHICULAR FACTOR,99,
27685188,2,HUMAN FACTOR,99,
27685188,2,VEHICULAR FACTOR,99,
27687005,1,HUMAN FACTOR,99,
27687005,1,VEHICULAR FACTOR,99,
27687005,2,HUMAN FACTOR,99,
27687005,2,VEHICULAR FACTOR,99,
27691094,1,HUMAN FACTOR,21,
27691094,1,VEHICULAR FACTOR,99,
27692183,1,HUMAN FACTOR,14,
27692183,1,VEHICULAR FACTOR,99,
27692183,2,HUMAN FACTOR,99,
27692183,2,VEHICULAR FACTOR,99,
27700265,1,HUMAN FACTOR,14,
27700265,1,VEHICULAR FACTOR,99,
27700265,2,HUMAN FACTOR,99,
27700265,2,VEHICULAR FACTOR,99,
27708842,1,HUMAN FACTOR,97,
27708842,1,VEHICULAR FACTOR,03,
27708842,2,HUMAN FACTOR,99,
27708842,2,VEHICULAR FACTOR,99,
27710028,1,HUMAN FACTOR,14,
27710028,1,VEHICULAR FACTOR,99,
27710028,2,HUMAN FACTOR,99,
27710028,2,VEHICULAR FACTOR,99,
27716573,1,HUMAN FACTOR,99,
27716573,1,VEHICULAR FACTOR,01,
27716573,2,HUMAN FACTOR,99,
27716573,2,VEHICULAR FACTOR,99,
27716573,3,HUMAN FACTOR,99,
27716573,3,VEHICULAR FACTOR,99,
27717820,1,HUMAN FACTOR,26,
27717820,1,VEHICULAR FACTOR,99,
27717820,2,HUMAN FACTOR,99,
27717820,2,VEHICULAR FACTOR,99,
27726993,1,HUMAN FACTOR,14,
27726993,1,VEHICULAR FACTOR,99,
27726993,2,HUMAN FACTOR,99,
27726993,2,VEHICULAR FACTOR,99,
27731417,1,HUMAN FACTOR,08,
27731417,1,HUMAN FACTOR,14,
27731417,1,VEHICULAR FACTOR,99,
27731417,2,HUMAN FACTOR,99,
27731417,2,VEHICULAR FACTOR,99,
27734462,1,HUMAN FACTOR,14,
27734462,1,VEHICULAR FACTOR,99,
27734462,2,HUMAN FACTOR,03,
27734462,2,VEHICULAR FACTOR,99,
27747267,1,HUMAN FACTOR,03,
27747267,1,VEHICULAR FACTOR,99,
27753228,1,HUMAN FACTOR,99,
27753228,1,VEHICULAR FACTOR,99,
27753228,2,HUMAN FACTOR,99,
27753228,2,VEHICULAR FACTOR,99,
27765059,1,HUMAN FACTOR,26,
27765059,1,HUMAN FACTOR,17,
27765059,1,VEHICULAR FACTOR,99,
27766333,2,HUMAN FACTOR,99,
27766333,2,VEHICULAR FACTOR,99,
27772309,1,HUMAN FACTOR,14,
27772309,1,VEHICULAR FACTOR,99,
27772309,2,HUMAN FACTOR,99,
27772309,2,VEHICULAR FACTOR,99,
27824449,1,HUMAN FACTOR,14,
27824449,1,VEHICULAR FACTOR,99,
27824449,2,HUMAN FACTOR,99,
27824449,2,VEHICULAR FACTOR,99,
27829632,1,HUMAN FACTOR,18,
27829632,1,VEHICULAR FACTOR,99,
27833575,1,HUMAN FACTOR,97,
27833575,1,VEHICULAR FACTOR,99,
27836876,1,HUMAN FACTOR,14,
27836876,1,VEHICULAR FACTOR,99,
27858489,1,HUMAN FACTOR,14,
27858489,1,HUMAN FACTOR,18,
27858489,1,VEHICULAR FACTOR,99,
27858489,2,HUMAN FACTOR,99,
27858489,2,VEHICULAR FACTOR,99,
27864172,1,HUMAN FACTOR,17,
27864172,1,VEHICULAR FACTOR,99,
27864172,2,HUMAN FACTOR,99,
27864172,2,VEHICULAR FACTOR,99,
27868833,1,HUMAN FACTOR,08,
27868833,1,VEHICULAR FACTOR,99,
27868833,2,HUMAN FACTOR,99,
27868833,2,VEHICULAR FACTOR,99,
27876336,1,HUMAN FACTOR,04,
27876336,1,HUMAN FACTOR,14,
27876336,1,VEHICULAR FACTOR,99,
27876336,2,HUMAN FACTOR,99,
27876336,2,VEHICULAR FACTOR,99,
27876606,1,HUMAN FACTOR,08,
27876606,1,VEHICULAR FACTOR,99,
27876606,2,HUMAN FACTOR,99,
27876606,2,VEHICULAR FACTOR,99,
27877027,1,HUMAN FACTOR,11,
27633727,1,ENVIRON FACTOR,02,
27633727,2,ENVIRON FACTOR,99,
27657115,1,ENVIRON FACTOR,02,
27657891,1,ENVIRON FACTOR,02,
27657891,2,ENVIRON FACTOR,02,
27661484,1,ENVIRON FACTOR,02,
27661484,2,ENVIRON FACTOR,99,
27662939,1,ENVIRON FACTOR,02,
27662939,2,ENVIRON FACTOR,99,
27666327,1,ENVIRON FACTOR,02,
27666327,2,ENVIRON FACTOR,02,
27685188,1,ENVIRON FACTOR,17,
27685188,1,ENVIRON FACTOR,02,
27685188,2,ENVIRON FACTOR,17,
27685188,2,ENVIRON FACTOR,02,
27687005,1,ENVIRON FACTOR,02,
27687005,2,ENVIRON FACTOR,02,
27691094,1,ENVIRON FACTOR,02,
27692183,1,ENVIRON FACTOR,02,
27692183,2,ENVIRON FACTOR,02,
27700265,1,ENVIRON FACTOR,02,
27700265,1,ENVIRON FACTOR,09,
27700265,2,ENVIRON FACTOR,02,
27708842,1,ENVIRON FACTOR,02,
27708842,2,ENVIRON FACTOR,09,
27710028,1,ENVIRON FACTOR,02,
27710028,2,ENVIRON FACTOR,02,
27716573,1,ENVIRON FACTOR,02,
27716573,2,ENVIRON FACTOR,02,
27716573,3,ENVIRON FACTOR,02,
27717820,1,ENVIRON FACTOR,02,
27717820,2,ENVIRON FACTOR,02,
27726993,1,ENVIRON FACTOR,02,
27726993,1,ENVIRON FACTOR,11,
27726993,2,ENVIRON FACTOR,02,
27726993,2,ENVIRON FACTOR,11,
27731417,1,ENVIRON FACTOR,02,
27731417,2,ENVIRON FACTOR,02,
27734462,1,ENVIRON FACTOR,02,
27734462,2,ENVIRON FACTOR,02,
27747267,1,ENVIRON FACTOR,02,
27753228,1,ENVIRON FACTOR,02,
27753228,1,ENVIRON FACTOR,16,
27753228,2,ENVIRON FACTOR,16,
27765059,1,ENVIRON FACTOR,02,
27766333,2,ENVIRON FACTOR,02,
27772309,1,ENVIRON FACTOR,02,
27772309,2,ENVIRON FACTOR,02,
27824449,1,ENVIRON FACTOR,02,
27824449,2,ENVIRON FACTOR,02,
27824449,2,ENVIRON FACTOR,09,
27829632,1,ENVIRON FACTOR,02,
27833575,1,ENVIRON FACTOR,02,
27836876,1,ENVIRON FACTOR,02,
27836876,1,ENVIRON FACTOR,16,
27858489,1,ENVIRON FACTOR,02,
27858489,2,ENVIRON FACTOR,99,
27864172,1,ENVIRON FACTOR,02,
27864172,2,ENVIRON FACTOR,99,
27868833,1,ENVIRON FACTOR,02,
27868833,2,ENVIRON FACTOR,02,
27876336,1,ENVIRON FACTOR,02,
27876336,1,DRIVER DISTRACTED BY,01,
27876336,2,ENVIRON FACTOR,02,
27876606,1,ENVIRON FACTOR,99,
27876606,2,ENVIRON FACTOR,02,
27877027,1,ENVIRON FACTOR,02,
27877027,2,ENVIRON FACTOR,02,
27899783,1,ENVIRON FACTOR,02,
27899783,1,ENVIRON FACTOR,11,
27899783,2,ENVIRON FACTOR,02,
27899783,2,ENVIRON FACTOR,11,
27904812,1,ENVIRON FACTOR,02,
27904812,2,ENVIRON FACTOR,02,
27918680,1,ENVIRON FACTOR,17,
27918680,1,ENVIRON FACTOR,02,
27918680,2,ENVIRON FACTOR,17,
27918680,2,ENVIRON FACTOR,02,
27918680,3,ENVIRON FACTOR,17,
27918680,3,ENVIRON FACTOR,02,
27923551,1,ENVIRON FACTOR,02,
27924693,1,ENVIRON FACTOR,02,
27924693,2,ENVIRON FACTOR,02,
27931926,1,ENVIRON FACTOR,02,
27931926,2,ENVIRON FACTOR,99,
27934406,1,ENVIRON FACTOR,02,
27934406,1,ENVIRON FACTOR,16,
27934406,2,ENVIRON FACTOR,99,
27941670,1,ENVIRON FACTOR,02,
27941670,2,ENVIRON FACTOR,02,
27947197,1,ENVIRON FACTOR,02,
27947197,1,ENVIRON FACTOR,05,
27947197,2,ENVIRON FACTOR,99,
27953060,1,ENVIRON FACTOR,02,
27954733,1,ENVIRON FACTOR,02,
27954733,1,ENVIRON FACTOR,12,
27954733,2,ENVIRON FACTOR,99,
27955457,1,ENVIRON FACTOR,17,
27955457,1,ENVIRON FACTOR,02,
27955457,2,ENVIRON FACTOR,17,
27955457,2,ENVIRON FACTOR,02,
27958919,1,ENVIRON FACTOR,02,
27958919,2,ENVIRON FACTOR,02,
27972287,1,ENVIRON FACTOR,02,
27972287,2,ENVIRON FACTOR,02,
27977060,1,ENVIRON FACTOR,02,
27977060,2,ENVIRON FACTOR,99,
27985632,1,ENVIRON FACTOR,02,
27985632,2,ENVIRON FACTOR,02,
27989352,1,ENVIRON FACTOR,02,
27989994,1,ENVIRON FACTOR,02,
27989994,2,ENVIRON FACTOR,02,
27993776,1,ENVIRON FACTOR,02,
27993776,2,ENVIRON FACTOR,02,
27993776,3,ENVIRON FACTOR,02,
27996741,1,ENVIRON FACTOR,02,
27996741,2,ENVIRON FACTOR,02,
27996741,3,ENVIRON FACTOR,02,
28000227,1,ENVIRON FACTOR,02,
28000227,1,ENVIRON FACTOR,03,
28000369,1,ENVIRON FACTOR,02,
28000369,2,ENVIRON FACTOR,02,
28001397,1,ENVIRON FACTOR,02,
28001397,1,ENVIRON FACTOR,97,
28001397,2,ENVIRON FACTOR,02,
28001397,2,ENVIRON FACTOR,97,
28002405,1,ENVIRON FACTOR,02,
28002405,2,ENVIRON FACTOR,99,
28004201,1,ENVIRON FACTOR,02,
28004201,2,ENVIRON FACTOR,99,
28004201,3,ENVIRON FACTOR,99,
28009776,1,ENVIRON FACTOR,17,
28009776,1,ENVIRON FACTOR,02,
28009776,2,ENVIRON FACTOR,17,
28009776,2,ENVIRON FACTOR,02,
28009776,3,ENVIRON FACTOR,17,
28009776,3,ENVIRON FACTOR,02,
28009992,1,ENVIRON FACTOR,02,
28009992,1,DRIVER DISTRACTED BY,01,
28010101,1,ENVIRON FACTOR,02,
28010453,1,ENVIRON FACTOR,02,
28010453,1,ENVIRON FACTOR,10,
28012087,1,ENVIRON FACTOR,02,
28012087,2,ENVIRON FACTOR,99,
28014535,1,ENVIRON FACTOR,02,
28014535,2,ENVIRON FACTOR,02,
28017733,1,ENVIRON FACTOR,02,
28019445,1,ENVIRON FACTOR,02,
28019445,2,ENVIRON FACTOR,02,
28021726,1,ENVIRON FACTOR,02,
28021726,2,ENVIRON FACTOR,02,
28024356,1,ENVIRON FACTOR,02,
28024356,2,ENVIRON FACTOR,02,
28026208,1,ENVIRON FACTOR,02,
28026208,2,ENVIRON FACTOR,02,
