IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
30451103,1,BUS,03,False,,DI,05,,False,07,01,True,FRHT,VCC,,FREIGHTLINER,VC CHASSIS,
29583737,2,FARM TRACTOR &/OR FARM EQUIPMENT,03,False,,DL,05,,False,12,01,True,TCHA,,,TCHAIKA,,
29750595,3,HIT & RUN/UNKNOWN,03,False,,DI,05,05,False,13,01,,,,,,,
29793192,1,HIT & RUN/UNKNOWN,03,True,,UN,05,,False,05,01,,,,,,,
29989091,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,98,01,,,,,,,
30204188,1,HIT & RUN/UNKNOWN,01,False,,UN,46,,False,06,01,,,,,,,
30182629,1,HIT & RUN/UNKNOWN,,False,,UN,,,False,10,,,GMC,TK,,GENERAL MOTORS CORP,TRUCK,
30083545,1,HIT & RUN/UNKNOWN,,False,,UN,05,,,05,01,,,,,,,
30063863,1,HIT & RUN/UNKNOWN,,False,,UN,05,,,05,01,,,,,,,
30296974,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,False,LEXS,,,LEXUS,,
30372795,1,HIT & RUN/UNKNOWN,,False,,UN,39,,False,15,01,,,,,,,
30452053,1,HIT & RUN/UNKNOWN,,False,,UN,,,,,,,,,,,,
30506701,2,HIT & RUN/UNKNOWN,,False,,UN,,,,,,,,,,,,
30545594,1,HIT & RUN/UNKNOWN,01,False,,UN,05,,False,03,01,,,,,,,
30697582,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,15,01,,,,,,,
30770785,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,03,01,,,,,,,
30892927,2,HIT & RUN/UNKNOWN,,False,,UN,,,False,05,,,,,,,,
30841159,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,98,01,,,,,,,
30846145,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,UN,05,,False,05,01,,,,,,,
30876252,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,05,01,True,TOYT,,,TOYOTA,HYLANDER,
31432635,,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,,,,,,,,,,,,,,,
30584304,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),02,False,,UN,05,,,02,01,,,,,,,
30600831,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,KIA,SPT,,KIA MOTORS CORPORATION,SPORTAGE,
30627106,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,,,False,05,01,,,,,,,
30077603,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,UN,05,,False,05,01,,,,,,,
30044018,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,05,,False,10,01,,,,,,,
30171177,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,05,01,,,,,,,
30196276,4,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,05,False,13,01,True,FORD,XPL,,FORD,EXPLORER,
30203837,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,05,01,True,RAM,450,,RAM,4500,
