OBJECTID,Cnty_Name_UC,Cnty_Name_PC,Cnty_Number,Cnty_FIPS_Number,KYTC_District_Number,D_DISTRICT
1,ADAIR,Adair,1,1,8,Somerset
2,ALLEN,Allen,2,3,3,Bowling Green
3,ANDERSON,Anderson,3,5,7,Lexington
4,BALLARD,Ballard,4,7,1,Paducah
5,BARREN,Barren,5,9,3,Bowling Green
6,BATH,Bath,6,11,9,Flemingsburg
7,BELL,Bell,7,13,11,Manchester
8,BOONE,Boone,8,15,6,Covington
9,BOURBON,Bourbon,9,17,7,Lexington
10,BOYD,Boyd,10,19,9,Flemingsburg
11,BOYLE,Boyle,11,21,7,Lexington
12,BRACKEN,Bracken,12,23,6,Covington
13,BREATHITT,Breathitt,13,25,10,Jackson
14,BRECKINRIDGE,Breckinridge,14,27,4,Elizabethtown
15,BULLITT,Bullitt,15,29,5,Louisville
16,BUTLER,Butler,16,31,3,Bowling Green
17,CALDWELL,Caldwell,17,33,2,Madisonville
18,CALLOWAY,Calloway,18,35,1,Paducah
19,CAMPBELL,Campbell,19,37,6,Covington
20,CARLISLE,Carlisle,20,39,1,Paducah
21,CARROLL,Carroll,21,41,6,Covington
22,CARTER,Carter,22,43,9,Flemingsburg
23,CASEY,Casey,23,45,8,Somerset
24,CHRISTIAN,Christian,24,47,2,Madisonville
25,CLARK,Clark,25,49,7,Lexington
26,CLAY,Clay,26,51,11,Manchester
27,CLINTON,Clinton,27,53,8,Somerset
28,CRITTENDEN,Crittenden,28,55,1,Paducah
29,CUMBERLAND,Cumberland,29,57,8,Somerset
30,DAVIESS,Daviess,30,59,2,Madisonville
31,EDMONSON,Edmonson,31,61,3,Bowling Green
32,ELLIOTT,Elliott,32,63,9,Flemingsburg
33,ESTILL,Estill,33,65,10,Jackson
34,FAYETTE,Fayette,34,67,7,Lexington
35,FLEMING,Fleming,35,69,9,Flemingsburg
36,FLOYD,Floyd,36,71,12,Pikeville
37,FRANKLIN,Franklin,37,73,5,Louisville
38,FULTON,Fulton,38,75,1,Paducah
39,GALLATIN,Gallatin,39,77,6,Covington
40,GARRARD,Garrard,40,79,7,Lexington
41,GRANT,Grant,41,81,6,Covington
42,GRAVES,Graves,42,83,1,Paducah
43,GRAYSON,Grayson,43,85,4,Elizabethtown
44,GREEN,Green,44,87,4,Elizabethtown
45,GREENUP,Greenup,45,89,9,Flemingsburg
46,HANCOCK,Hancock,46,91,2,Madisonville
47,HARDIN,Hardin,47,93,4,Elizabethtown
48,HARLAN,Harlan,48,95,11,Manchester
49,HARRISON,Harrison,49,97,6,Covington
50,HART,Hart,50,99,4,Elizabethtown
51,HENDERSON,Henderson,51,101,2,Madisonville
52,HENRY,Henry,52,103,5,Louisville
53,HICKMAN,Hickman,53,105,1,Paducah
54,HOPKINS,Hopkins,54,107,2,Madisonville
55,JACKSON,Jackson,55,109,11,Manchester
56,JEFFERSON,Jefferson,56,111,5,Louisville
57,JESSAMINE,Jessamine,57,113,7,Lexington
58,JOHNSON,Johnson,58,115,12,Pikeville
59,KENTON,Kenton,59,117,6,Covington
60,KNOTT,Knott,60,119,12,Pikeville
61,KNOX,Knox,61,121,11,Manchester
62,LARUE,Larue,62,123,4,Elizabethtown
63,LAUREL,Laurel,63,125,11,Manchester
64,LAWRENCE,Lawrence,64,127,12,Pikeville
65,LEE,Lee,65,129,10,Jackson
66,LESLIE,Leslie,66,131,11,Manchester
67,LETCHER,Letcher,67,133,12,Pikeville
68,LEWIS,Lewis,68,135,9,Flemingsburg
69,LINCOLN,Lincoln,69,137,8,Somerset
70,LIVINGSTON,Livingston,70,139,1,Paducah
71,LOGAN,Logan,71,141,3,Bowling Green
72,LYON,Lyon,72,143,1,Paducah
73,MCCRACKEN,McCracken,73,145,1,Paducah
74,MCCREARY,McCreary,74,147,8,Somerset
75,MCLEAN,McLean,75,149,2,Madisonville
76,MADISON,Madison,76,151,7,Lexington
77,MAGOFFIN,Magoffin,77,153,10,Jackson
78,MARION,Marion,78,155,4,Elizabethtown
79,MARSHALL,Marshall,79,157,1,Paducah
80,MARTIN,Martin,80,159,12,Pikeville
81,MASON,Mason,81,161,9,Flemingsburg
82,MEADE,Meade,82,163,4,Elizabethtown
83,MENIFEE,Menifee,83,165,10,Jackson
84,MERCER,Mercer,84,167,7,Lexington
85,METCALFE,Metcalfe,85,169,3,Bowling Green
86,MONROE,Monroe,86,171,3,Bowling Green
87,MONTGOMERY,Montgomery,87,173,7,Lexington
88,MORGAN,Morgan,88,175,10,Jackson
89,MUHLENBERG,Muhlenberg,89,177,2,Madisonville
90,NELSON,Nelson,90,179,4,Elizabethtown
91,NICHOLAS,Nicholas,91,181,9,Flemingsburg
92,OHIO,Ohio,92,183,2,Madisonville
93,OLDHAM,Oldham,93,185,5,Louisville
94,OWEN,Owen,94,187,6,Covington
95,OWSLEY,Owsley,95,189,10,Jackson
96,PENDLETON,Pendleton,96,191,6,Covington
97,PERRY,Perry,97,193,10,Jackson
98,PIKE,Pike,98,195,12,Pikeville
99,POWELL,Powell,99,197,10,Jackson
100,PULASKI,Pulaski,100,199,8,Somerset
101,ROBERTSON,Robertson,101,201,6,Covington
102,ROCKCASTLE,Rockcastle,102,203,8,Somerset
103,ROWAN,Rowan,103,205,9,Flemingsburg
104,RUSSELL,Russell,104,207,8,Somerset
105,SCOTT,Scott,105,209,7,Lexington
106,SHELBY,Shelby,106,211,5,Louisville
107,SIMPSON,Simpson,107,213,3,Bowling Green
108,SPENCER,Spencer,108,215,5,Louisville
109,TAYLOR,Taylor,109,217,4,Elizabethtown
110,TODD,Todd,110,219,3,Bowling Green
111,TRIGG,Trigg,111,221,1,Paducah
112,TRIMBLE,Trimble,112,223,5,Louisville
113,UNION,Union,113,225,2,Madisonville
114,WARREN,Warren,114,227,3,Bowling Green
